t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,mass,speed,airspeed,mach,q_dyn,rho,cd_eff,thrust,wind_x,wind_y,roll_ref,pitch_ref,yaw_ref,alpha_pitch_deg,beta_yaw_deg,gimbal_pitch_deg,gimbal_yaw_deg
0.0,0.0,0.0,0.0,1.5308084989341915e-15,0.0,25.0,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,30.0,25.0,25.0,0.07346625523104375,382.81633312209203,1.2250122659906946,0.22,297.5,0.0,8.0,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,0.0
0.02,3.061616997868383e-17,0.0,0.5,-2.1706498613020898e-08,0.0032018182172829086,24.64156807347074,0.0,1.5533430342749535,0.0,0.032813664959731675,-2.4559354459686416e-07,0.05670201305041633,29.986666666666668,25.0,26.248809496813376,0.07713606952015746,422.01672563379435,1.2250122659906946,7.128747237418012,297.5,0.0,8.0,0.0,1.5707963267948966,0.11166746070712286,0.0001754177324628238,-89.99999999283803,0.0,0.0
0.04,-4.34129941644248e-10,6.403636434565817e-05,0.9928313614694149,-0.008597048066754077,0.006321941208761226,24.316051539908532,0.06562539634009878,1.5533430293630826,0.06497901966033126,0.06362739069698252,-0.12273509703476937,0.10921100495473038,29.973333333333336,24.641568281485906,25.90663606826813,0.07613097083879396,411.06608168420155,1.2249534647800198,14.037469838885873,297.5,0.0,7.999883333333333,0.0,1.5707963267948966,0.11166746070712286,89.99999986677092,-89.99999999283506,0.0,0.0
0.06,-0.0001719413954650232,0.0001904751885208827,1.4791523922675855,-0.016912806861845667,0.009524194441823109,23.98883194753149,0.182540175224434,1.5507503739042807,0.18063886629549497,0.09025353311257445,-0.23664922714198255,0.1578813134384885,29.960000000000004,24.316053881492863,25.59620326768532,0.07521913039645271,401.25471376052434,1.224895508731692,14.037469429277401,297.5,0.0,7.99976833934899,0.0,1.5707963267948966,0.1116674019940147,89.99999986361726,-89.9999999928071,0.0,0.0
0.08,-0.0005101975327019366,0.00038095907735734486,1.9589290312182155,-0.02463724472967055,0.012996006666858101,23.65990739228015,0.29637254731255025,1.5455228263501093,0.29268868002879156,0.11116947842368752,-0.34218998354495556,0.20290797414784684,29.946666666666673,23.988839800211746,25.284511709218705,0.07430357525176902,391.523569648247,1.224838320342506,14.037469027471262,297.5,0.0,7.999654864441804,0.0,1.5707963267948966,0.11166726241889569,89.99999987846225,-89.99999999274995,0.0,0.0
0.1,-0.0010029424272953477,0.0006408792106945069,2.4321271790638184,-0.031470903828856645,0.016915225235038456,23.329282021934002,0.37306447772247564,1.5377922044075678,0.3671810105854396,0.1268868058237763,-0.43978327520198757,0.24447667633138143,29.93333333333334,23.65992378900004,24.97151890352316,0.07338418065285783,381.8727633208338,1.2247819035355463,14.037468631773054,297.5,0.0,7.999542916559382,0.0,1.5707963267948966,0.11166704124949423,89.99999990075783,-89.99999999266544,0.0,0.0
0.12000000000000001,-0.0016323605038724806,0.000979183715395276,2.8987128195024985,-0.03711048212746631,0.021415733742382172,22.996966381242135,0.4164138813704219,1.5278194581286852,0.4080149157149191,0.13901858816638601,-0.5298346831443559,0.28276424822516466,29.92000000000001,23.329309381153262,24.657189056683762,0.07246084152426609,372.30268233086554,1.224726262238924,14.037468240802228,297.5,0.0,7.999432503658219,0.0,1.5707963267948966,0.1116667351695031,89.99999992192257,-89.99999999256035,0.0,0.0
0.14,-0.002374570146421807,0.0014074983902429194,3.358652147127341,-0.041254632268664264,0.02660454854531931,22.662979886611932,0.43979329874631734,1.5158408324351687,0.4286329993130149,0.14890204420586914,-0.6127306183524525,0.3179391643389712,29.906666666666677,22.997006295635884,24.34150476835151,0.07153350684555052,362.81432421775406,1.2246714003715604,14.037467854035292,297.5,0.0,7.999323633675449,0.0,1.5707963267948966,0.11166633842512264,89.9999999387996,-89.99999999243829,0.0,0.0
0.16,-0.003199662791795092,0.0019395893611493056,3.8119117448595796,-0.04361333235903612,0.03258171266381812,22.327353147338943,0.4525193799179017,1.5020451053108097,0.4383957782058898,0.15732105343385386,-0.6888393918605749,0.35016201390735263,29.893333333333345,22.66303305137386,24.024464565444195,0.07060217240500567,353.4091886971406,1.2246173218281613,14.037467471452743,297.5,0.0,7.999216314499003,0.0,1.5707963267948966,0.1116658436417981,89.9999999513895,-89.99999999229941,0.0,0.0
0.18,-0.004071929438975814,0.002591223614425668,4.258458807806359,-0.04391067772607528,0.039445112883498216,21.990129101447682,0.4596549317012779,1.4865929273862823,0.44239435529689386,0.1646957731406747,-0.7585121906225197,0.3795859275630469,29.880000000000013,22.327419516297574,23.70607901926025,0.06966686939010783,344.08913407598664,1.2245640304583896,14.037467093193612,297.5,0.0,7.999110553926199,0.0,1.5707963267948966,0.11166524231148456,89.99999996063808,-89.99999999214285,0.0,0.0
