t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,mass,phase,speed,airspeed,mach,q_dyn,rho,cd_eff,alpha_deg,beta_deg,roll_ref_deg,pitch_ref_deg,yaw_ref_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,gimbal_pitch_deg,gimbal_yaw_deg
0.0,0.0,0.0,0.0,15.391536883141457,0.0,19.70026884016805,0.0,0.9075712110370514,0.0,0.0,0.0,0.0,21.2,rail,25.0,25.0,0.07346625523104375,382.81633312209203,1.2250122659906946,0.22,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.30783073766282915,0.0,0.394005376803361,15.461805865706246,0.0,19.594009036404575,0.0,0.9075712110370517,0.0,0.0,0.0,0.0,21.190153846153844,longitudinal,25.0,25.0,0.07346625523104375,382.81633312209203,1.2250122659906946,0.2200225219701134,0.0,0.0,-0.0,40.0,0.0,0.0,-12.000000000000018,0.0,0.0,0.0
0.04,0.617066854976954,0.0,0.7858855575314525,15.53210466982782,0.0,19.487774460813498,0.0,0.9075712110370517,0.0,0.0,-6.82511712124752e-05,0.0,21.18030769230769,longitudinal,24.95982032682712,24.95982032682712,0.07334850718217972,381.57237359855066,1.2249659298239992,0.22008804960628645,0.27728338979621475,0.0,-0.0,40.0,0.0,0.0,-12.000000000000018,0.0,0.0,0.0
0.06,0.9277089483735104,0.0,1.1756410467477225,15.602432778789113,0.0,19.38156450069422,0.0,0.9075698460136277,0.0,0.0,-0.00020126210660284841,0.0,21.170461538461534,longitudinal,24.920265426155115,24.920265426155115,0.07323259233698247,380.3496337672861,1.224919844916509,0.2202855917619065,0.5554718726081999,0.0,-0.0,40.0,0.0,0.0,-12.000000000000018,0.0,0.0,0.0
0.08,1.2397576039492926,0.0,1.563272336761607,15.672789789919618,0.0,19.27537845824378,0.0,0.9075658207714952,0.0,0.0,-0.0003956966400360757,0.0,21.16061538461538,longitudinal,24.88133740599977,24.88133740599977,0.07311851692328523,379.1480839186093,1.2248740111872842,0.22061631117274141,0.8344770812866239,0.0,-0.0,40.0,0.0,0.0,-11.999921789918881,0.0,0.0,0.0
0.1,1.553213399747685,0.0,1.9487799059264828,15.74317540896686,0.0,19.16921555568297,0.0,0.9075579068386945,0.0,0.0,-0.0006483677217358223,0.0,21.150769230769225,longitudinal,24.843038350965386,24.843038350965386,0.07300628709995505,377.9676946998298,1.2248284285569504,0.2210812138494203,1.1142147696043665,0.0,-0.0,40.0,0.0,0.0,-11.999691160533171,0.0,0.0,0.0
0.12000000000000001,1.868076907927022,0.0,2.332164217040142,15.813589444709695,0.0,19.063074940128093,0.0,0.9075449394842598,0.0,0.0,-0.000956231513772082,0.0,21.14092307692307,longitudinal,24.805370325349646,24.805370325349646,0.07289590896601272,376.8084372311228,1.2247830969478986,0.22168115731034774,1.3946046199255273,0.0,-0.0,40.0,0.0,0.0,-11.999237725584344,0.0,0.0,0.0
0.14,2.184348696821216,0.0,2.7134257158427038,15.884031803802781,0.0,18.956955688217782,0.0,0.9075258148539849,0.0,0.0,-0.0013163816986833932,0.0,21.131076923076915,longitudinal,24.76833537601535,24.76833537601535,0.07278738856906829,375.6702832132338,1.2247380162844723,0.22241685847573756,1.6755700584088125,0.0,-0.0,40.0,0.0,0.0,-11.998494750903786,0.0,0.0,0.0
0.16,2.5020293328972714,0.0,3.0925648296070594,15.954502485842147,0.0,18.85085681050445,0.0,0.9074994872200115,0.0,0.0,-0.0017260439945019782,0.0,21.12123076923076,longitudinal,24.731935535037906,24.731935535037906,0.0726807319130976,374.55320502741233,1.2246931864931458,0.22328890122403092,1.9570380774829663,0.0,-0.0,40.0,0.0,0.0,-11.997398990304282,0.0,0.0,0.0
0.18,2.821119382614114,0.0,3.4695819658171483,16.02500157864233,0.0,18.74477725561955,0.0,0.9074649663401217,0.0,0.0,-0.002182570869611056,0.0,21.111384615384605,longitudinal,24.696172822137545,24.696172822137545,0.07257594496558673,373.4571758279626,1.2246486075026857,0.22429774361341298,2.238939065339042,0.0,-0.0,40.0,0.0,0.0,-11.995890527993042,0.0,0.0,0.0
0.19999999999999998,3.1416194141869607,0.0,3.844477510929539,16.095529253716037,0.0,18.638715914221763,0.0,0.907421314922729,0.0,0.0,-0.0026834364510237084,0.0,21.10153846153845,longitudinal,24.66104924690515,24.66104924690515,0.07247303366406996,372.3821696277923,1.2246042792443128,0.22544372477240576,2.5212066421936643,0.0,-0.0,40.0,0.0,0.0,-11.993912627270282,0.0,0.0,0.0
0.21999999999999997,3.4635299992612816,0.0,4.217251829213974,16.166085761947812,0.0,18.532671622737055,0.0,0.907367646193709,0.0,0.0,-0.0032262316198311686,0.0,21.091692307692295,longitudinal,24.626566810830376,24.626566810830376,0.0723720039220873,371.3281613773163,1.2245602016518387,0.22672707146459506,2.803777503083832,0.0,-0.0,40.0,0.0,0.0,-11.991411585283915,0.0,0.0,0.0
0.23999999999999996,3.786851714500238,0.0,4.587905261668715,16.240077788897512,0.0,18.431001279239783,0.0,0.9073031215613128,0.0,0.0,-0.0038086592877260165,0.0,21.08184615384614,longitudinal,24.59272750914089,24.59272750914089,0.07227286163458671,370.2951270370863,1.2245163746618082,0.22814790433348534,3.0865912669635387,0.0,-0.0,40.0,0.0,0.0,-11.988336593619238,0.0,0.0,0.0
0.25999999999999995,4.111653270278188,0.0,4.956525287253511,16.320917310050245,0.0,18.33806663614741,0.0,0.9072269483755582,0.0,0.0,-0.004428709912874692,0.0,21.071999999999985,longitudinal,24.565055154523485,24.565055154523485,0.0721918402260923,369.44911719819186,1.224472798213622,0.22970188761248414,3.3688311951080254,0.0,-0.0,40.0,0.0,0.0,-11.984639604508299,0.0,0.0,0.0
0.27999999999999997,4.438071616479193,0.0,5.323286619976459,16.40861174244347,0.0,18.253872353042954,0.0,0.9071383741773005,0.0,0.0,-0.005084707518089177,0.0,21.06215384615383,longitudinal,24.549073909076093,24.549073909076093,0.07214517448855878,368.95551138096937,1.2244294620027119,0.23138151713279656,3.649424079392766,0.0,-0.0,40.0,0.0,0.0,-11.980275202452495,0.0,0.0,0.0
0.3,4.7662438513280625,0.0,5.688364067037318,16.503168900580352,0.0,18.17842277550426,0.0,0.9070366800269385,0.0,0.0,-0.0057751430888890575,0.0,21.052307692307675,longitudinal,24.544783461979037,24.544783461979037,0.07213286408245033,368.81357007761113,1.2243863454705022,0.23318148331398045,3.9279305043444928,0.0,-0.0,40.0,0.0,0.0,-11.975200274718574,0.0,0.0,0.0
0.32,5.096307229339669,0.0,6.051932522547403,16.604597018571365,0.0,18.111721915976812,0.0,0.9069211771651604,0.0,0.0,-0.006498666261661158,0.0,21.04246153846152,longitudinal,24.552181947151958,24.552181947151958,0.0721549040930927,369.02300954926847,1.2243434280497694,0.23509570558382867,4.203917267459012,0.0,-0.0,40.0,0.0,0.0,-11.969373629101662,0.0,0.0,0.0
0.34,5.4283991697110965,0.0,6.41416696086694,16.71290477133102,0.0,18.053773435346585,0.0,0.9067912038399273,0.0,0.0,-0.007254077265271704,0.0,21.032615384615365,longitudinal,24.571266001385112,24.571266001385112,0.07221128520209083,369.58400320915933,1.224300689165361,0.2371173776729397,4.476959152087573,0.0,-0.0,40.0,0.0,0.0,-11.962755802600096,0.0,0.0,0.0
0.36000000000000004,5.762657265137717,0.0,6.775242429573871,16.828101294973077,0.0,18.004580625096395,0.0,0.9066461222946218,0.0,0.0,-0.00804031911219059,0.0,21.02276923076921,longitudinal,24.602030833864205,24.602030833864205,0.07230199389223581,370.4971830290149,1.2242581082349497,0.23923902022273416,4.746640658877709,0.0,-0.0,40.0,0.0,0.0,-11.955308879614957,0.0,0.0,0.0
0.38000000000000006,6.099219291037179,0.0,7.135334042075799,16.950196206538173,0.0,17.964146389936555,0.0,0.906485315912378,0.0,0.0,-0.008856470034523762,0.0,21.012923076923055,longitudinal,24.64447030632777,24.64447030632777,0.07242701268366568,371.7636409674659,1.2242156646698419,0.2414525400103119,5.012557676240099,0.0,-0.0,40.0,0.0,0.0,-11.946996319383718,0.0,0.0,0.0
0.4000000000000001,6.438223215167943,0.0,7.494616969874531,17.079199623178617,0.0,17.932473230807513,0.0,0.9063081865116871,0.0,0.0,-0.009701736159759321,0.0,21.0030769230769,longitudinal,24.69857702296251,24.69857702296251,0.072586320398651,373.38493041914643,1.2241733378758284,0.2437492949766122,5.2743190714195665,0.0,-0.0,40.0,0.0,0.0,-11.93778279236238,0.0,0.0,0.0
