t,x,z,vx,vz,theta,q,mass,gamma,gamma_ref,alpha,alpha_air,alpha_cmd,alpha_limit,gimbal_cmd,gimbal,speed,airspeed,mach,q_dyn,rho,cd_eff,thrust,wind_x
0.0,0.0,0.0,1.5308084989341915e-15,25.0,1.5707963267948966,0.0,30.0,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.0,25.0,0.07346625523104375,382.81633312209203,1.2250122659906946,0.22,297.5,0.0
0.02,3.061616997868383e-17,0.5,1.5428910231373498e-15,25.001122594752555,1.5707963267948966,0.0,29.986666666666668,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.0,25.0,0.07346625523104375,382.81633312209203,1.2250122659906946,0.2200225219701134,297.5,0.0
0.04,6.147399044143082e-17,1.0000224518950511,1.5549789171501038e-15,25.002332885150896,1.5707963267948966,0.0,29.973333333333336,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.001122594752555,25.001122594752555,0.0734699684738135,382.83233667390317,1.2249534647800198,0.2200225235711091,297.5,0.0
0.06,9.257356878443291e-17,1.5000691095980692,1.567072185315559e-15,25.003630942123323,1.5707963267948966,0.0,29.960000000000004,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.002332885150896,25.002332885150896,0.07347393948914255,382.85102401255523,1.2248946630884074,0.22002252528336444,297.5,0.0
0.08,1.2391501249074408e-16,2.0001417284405356,1.579170831982278e-15,25.005016836687247,1.5707963267948966,0.0,29.946666666666673,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.003630942123323,25.003630942123323,0.07347816849128662,382.8723972488071,1.2248358607098486,0.2200225271069957,297.5,0.0
0.1,1.5549842913038964e-16,2.5002420651742807,1.5912748615042844e-15,25.006490639949277,1.5707963267948966,0.0,29.93333333333334,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.005016836687247,25.005016836687247,0.07348265569477017,382.8964585243153,1.2247770574381958,0.220022529042121,297.5,0.0
0.12000000000000001,1.8732392636047532e-16,3.000371877973266,1.6033842782410688e-15,25.008052423105294,1.5707963267948966,0.0,29.92000000000001,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.006490639949277,25.006490639949277,0.07348740131438658,382.9232100117042,1.2247182530671699,0.22002253108885997,297.5,0.0
0.14,2.193916119252967e-16,3.5005329264353717,1.6154990865575921e-15,25.009702257440516,1.5707963267948966,0.0,29.906666666666677,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.008052423105294,25.008052423105294,0.07349240556519868,382.9526539146295,1.2246594473903478,0.22002253324733406,297.5,0.0
0.16,2.5170159365644853e-16,4.000726971584182,1.627619290824291e-15,25.011440214329596,1.5707963267948966,0.0,29.893333333333345,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.009702257440516,25.009702257440516,0.07349766866253876,382.98479246784854,1.2246006402011735,0.2200225355176665,297.5,0.0
0.18,2.8425397947293433e-16,4.500955775870774,1.6397448954170826e-15,25.01326636523668,1.5707963267948966,0.0,29.880000000000013,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.05235987755982988,0.0,0.0,25.011440214329596,25.011440214329596,0.07350319082200905,383.0196279372884,1.2245418312929546,0.2200225378999821,297.5,0.0
