rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
1004,6257.9751,4.8,0.35,0.75,0.51,9e-05,75.0,3443.268541,476.741544,323.258456,214.705824,59.640000,1.000000,12.689473,117.939489,0.301865,4.565966,0.000000,1.188348
1005,6258.7179,4.5,0.35,0.75,0.51,9e-05,75.0,3409.772974,1016.577455,216.577455,214.259752,59.200000,1.000000,9.800941,119.593423,0.399768,5.754960,0.000000,0.779732
1006,6260.2592,4.5,0.27,0.75,0.51,0.00011,73.0,3373.461073,1124.314990,324.314990,213.622783,58.840000,1.000000,9.553343,114.028831,0.375889,5.440430,0.000000,1.116677
1007,6260.2823,4.5,0.27,0.75,0.51,0.00011,75.0,3409.710176,1017.357536,217.357536,214.261298,59.200000,1.000000,9.798499,119.593464,0.399950,5.756313,0.000000,0.749908
1008,6261.2767,4.5,0.27,0.75,0.51,0.0001,73.0,3373.461073,1124.314990,324.314990,213.622783,58.840000,1.000000,9.553343,114.028831,0.375889,5.440430,0.000000,1.129397
1009,6261.3111,4.5,0.27,0.75,0.51,0.0001,75.0,3409.710176,1017.357536,217.357536,214.261298,59.200000,1.000000,9.798499,119.593464,0.399950,5.756313,0.000000,0.762769
1010,6262.1426,4.8,0.27,0.75,0.51,0.00011,74.0,3377.681017,1056.986997,256.986997,213.618550,58.860000,1.000000,9.830065,116.232256,0.402550,5.669769,0.000000,0.863773
1011,6262.5627,4.5,0.27,0.75,0.51,9e-05,73.0,3373.461073,1124.314990,324.314990,213.622783,58.840000,1.000000,9.553343,114.028831,0.375889,5.440430,0.000000,1.145472
1012,6262.6174,4.5,0.27,0.75,0.51,9e-05,75.0,3409.710176,1017.357536,217.357536,214.261298,59.200000,1.000000,9.798499,119.593464,0.399950,5.756313,0.000000,0.779096
1013,6263.1678,4.8,0.27,0.75,0.51,0.0001,74.0,3377.681017,1056.986997,256.986997,213.618550,58.860000,1.000000,9.830065,116.232256,0.402550,5.669769,0.000000,0.876587
