t,x,y,z,vx,vy,vz,crosswind_y,heading_deg,speed_3d
0.0,0.0,0.0,0.0,1.5308084989341915e-15,0.0,25.0,8.0,0.0,25.0
0.02,3.061616997868383e-17,0.000703988172490396,0.5,1.5428910231373498e-15,0.0351994086245198,25.001122594752555,7.999865596481772,89.9999999999975,25.00114737359496
0.04,6.147399044143082e-17,0.002108855141536838,1.0000224518950511,1.5549789171501038e-15,0.07024334845232211,25.002332885150896,7.9997311876705,89.99999999999874,25.002431558308476
0.06,9.257356878443291e-17,0.004211505211951821,1.5000691095980692,1.567072185315559e-15,0.10513250352074915,25.003630942123323,7.999596773094832,89.99999999999915,25.00385196591124
0.08,1.2391501249074408e-16,0.007008856309057886,2.0001417284405356,1.579170831982278e-15,0.13986755485530325,25.005016836687247,7.9994623522830395,89.99999999999935,25.005408013786013
0.1,1.5549842913038964e-16,0.010497839918715833,2.5002420651742807,1.5912748615042844e-15,0.1744491804828973,25.006490639949277,7.999327924763036,89.99999999999947,25.00709912489735
0.12000000000000001,1.8732392636047532e-16,0.014675401027616771,3.000371877973266,1.6033842782410688e-15,0.20887805544504687,25.008052423105294,7.999193490062346,89.99999999999957,25.00892472776127
0.14,2.193916119252967e-16,0.01953849806383686,3.5005329264353717,1.6154990865575921e-15,0.24315485181100444,25.009702257440516,7.999059047708131,89.99999999999962,25.010884256414936
0.16,2.5170159365644853e-16,0.02508410283765357,4.000726971584182,1.627619290824291e-15,0.27728023869083557,25.011440214329596,7.99892459722718,89.99999999999967,25.012977150386398
0.18,2.8425397947293433e-16,0.031309200482622326,4.500955775870774,1.6397448954170826e-15,0.3112548822484379,25.01326636523668,7.998790138145909,89.9999999999997,25.015202854664285
0.19999999999999998,3.17048877381276e-16,0.03821078939691237,5.001221103175507,1.651875904717369e-15,0.34507944571450233,25.0151807817155,7.998655669990353,89.99999999999973,25.017560819667512
0.21999999999999997,3.5008639547562336e-16,0.04578588118490072,5.501524718809818,1.664012323112042e-15,0.3787545893994177,25.01718353540943,7.998521192286183,89.99999999999974,25.020050501215056
0.23999999999999996,3.833666419378642e-16,0.054031500599023084,6.001868389518006,1.6767353015875455e-15,0.41228097070611847,25.02876554217843,7.9983867045586905,89.99999999999977,25.032160916791515
0.25999999999999995,4.169013479696151e-16,0.06294468547739078,6.5024437003615745,1.6906267228881922e-15,0.4456592439183852,25.059429668395367,7.998252155312198,89.99999999999979,25.06339217797431
0.27999999999999997,4.507138824273789e-16,0.07252248667718679,7.003632293729482,1.7056875364803087e-15,0.47889005998980017,25.10919142002208,7.998117441967239,89.9999999999998,25.11375777252117
0.3,4.848276331569851e-16,0.08276196800834767,7.505816122129923,1.7219186926928688e-15,0.5119740665580435,25.1780663171085,7.99798246186326,89.99999999999982,25.183271052695705
0.32,5.192660070108425e-16,0.0936602061675302,8.009377448472094,1.7393211425005364e-15,0.5449119079591257,25.266069890249486,7.997847112258558,89.99999999999982,25.27194524935521
0.34,5.540524298608533e-16,0.10521429067236138,8.514698846277083,1.7578958373057357e-15,0.5777042252415587,25.37321767702575,7.997711290330253,89.99999999999983,25.379793487292087
0.36000000000000004,5.892103466069679e-16,0.11742132379597064,9.022163199817598,1.7776437287197434e-15,0.6103516561804626,25.499525218428822,7.9975748931742485,89.99999999999983,25.506828801509013
0.38000000000000006,6.247632211813628e-16,0.13027842050180288,9.532153704186175,1.7985657683428024e-15,0.6428548352916117,25.645008055270036,7.9974378178052605,89.99999999999984,25.653064154095176
0.4000000000000001,6.607345365482189e-16,0.14378270837871127,10.045053865291576,1.8206629075432522e-15,0.6752143938454187,25.80968172457346,7.9972999611568305,89.99999999999984,25.81851245136786
0.4200000000000001,6.971477946990839e-16,0.1579313275763284,10.561247499783045,1.8439360972356756e-15,0.707430959880857,25.99356175595274,7.997161220081393,89.99999999999986,26.003186560949157
0.4400000000000001,7.340265166437974e-16,0.1727214307407149,11.0811187349021,1.8683862876580604e-15,0.7395051582193227,26.19666366797191,7.997021491350332,89.99999999999986,26.207099328461982
0.46000000000000013,7.713942423969586e-16,0.18815018295028363,11.605052008261538,1.894014428147976e-15,0.7714376104784358,26.419002964490044,7.99688067165411,89.99999999999986,26.430263593551135
0.48000000000000015,8.092745309599181e-16,0.20421476165199925,12.13343206755134,1.920821466917763e-15,0.8032289350857812,26.660595130989826,7.996738657602373,89.99999999999987,26.67269220496344
