t,east_m,north_m,up_m,ve_m_s,vn_m_s,vu_m_s,mass_kg,pitch_deg,ground_distance_m,speed_m_s,target_east_m,target_north_m,target_up_m,target_surface_distance_m,phase,desired_pitch_deg,remaining_ground_m,q_dyn,mach,cd_eff,azimuth_deg,line_of_sight_elevation_deg
0.0,0.0,0.0,0.0,-2.168437567526478,16.58712554195567,18.578620636934854,42.0,48.0,0.0,24.999999999999996,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20018.10548215785,382.8163331220919,0.07346625523104373,0.2200225219701134,352.5519519239,0.015892004537414336
0.02,-0.04336875135052957,0.3317425108391134,0.37157241273869707,-2.1915049475750603,16.763575873991876,18.58005607243391,41.98736842105263,48.0,0.3345653031794291,25.120482751593702,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20017.77091685467,386.5012579615728,0.07382062127035668,0.2200226752428494,352.5519519239,0.015892004537414336
0.04,-0.08719885030203078,0.667014028318951,0.7431735341873753,-2.2145782980570368,16.940071875928727,18.5815483558163,41.97473684210526,48.0,0.6726896412672565,25.241718077408994,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20017.432792516585,390.2269680042582,0.07417720187618486,0.2200228304665608,352.5519519239,0.015892004537414336
0.06,-0.1314904162631715,1.0058154658375256,1.1148045013037013,-2.237657614108814,17.116613510562914,18.583097503256845,41.96210526315789,48.0,1.014373935433586,25.363696151852842,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20017.091108222416,393.99348880622466,0.07453596820335134,0.22002298765318692,352.5519519239,0.015892004537414336
0.08,-0.17624356854534778,1.348147736048784,1.4864664513688384,-2.2607428908261102,17.2932007403799,18.584703531129673,41.94947368421052,48.0,1.3596191060981235,25.486407271435503,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20016.745863051754,397.8008459020455,0.07489689176504377,0.22002314681486967,352.5519519239,0.015892004537414336
0.1,-0.22145842636187,1.694011750856382,1.858160521991432,-2.2838341232646155,17.46983352755895,18.58636645600556,41.936842105263146,48.0,1.7084260729239005,25.60984185464915,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20016.397056084927,401.6490648044454,0.0752599444324653,0.22002330796395417,352.5519519239,0.015892004537414336
0.12000000000000001,-0.2671351088271623,2.0434084214075607,2.229887851111543,-2.306931306440635,17.646511833978074,18.588086294649298,41.924210526315775,48.0,2.0607957548110973,25.733990441761907,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20016.04468640304,405.53817100396293,0.07562509843423706,0.22002347111298948,352.5519519239,0.015892004537414336
0.14,-0.313273734955975,2.396338658087122,2.601649577004529,-2.33003443533172,17.82323562121883,18.589863064017052,41.911578947368405,48.0,2.4167290698909665,25.858843694531682,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20015.68875308796,409.46818996861225,0.0759923263555649,0.22002363627472935,352.5519519239,0.015892004537414336
0.16,-0.3598744236626094,2.752803370511499,2.97344683828487,-2.3531435048772833,18.000004850571045,18.591696781253727,41.898947368421034,48.0,2.7762269355198548,25.98439239584423,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20015.329255222332,413.43914714355384,0.07636160113718324,0.22002380346213307,352.5519519239,0.015892004537414336
0.18,-0.4069372937601551,3.11280346752292,3.3452807739099444,-2.376258509979203,18.176819483037423,18.593587463690344,41.88631578947366,48.0,3.139290268273317,26.110627449279733,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20014.966191889576,417.4510679507656,0.07673289607408915,0.22002397268836613,352.5519519239,0.015892004537414336
0.19999999999999998,-0.45446246395973916,3.4763398571836683,3.7171525231837514,-2.3993794455024093,18.353679479338055,18.595535128841433,41.87368421052629,48.0,3.5059199839403243,26.23753987861191,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20014.59956217391,421.5039777887186,0.07710618481407781,0.22002414396680092,352.5519519239,0.015892004537414336
0.21999999999999997,-0.5024500528697874,3.8434134467704295,4.08906322576058,-2.4225063062754626,18.530584799914816,18.59753979440243,41.86105263157892,48.0,3.8761169975175678,26.365120827243715,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20014.229365160332,425.5979020320586,0.07748144135609179,0.22002431731101757,352.5519519239,0.015892004537414336
0.23999999999999996,-0.5509001789952966,4.214025142768726,4.461014021648629,-2.446744171615569,18.715988576941225,18.60906956091595,41.84842105263155,48.0,4.2498822232038425,26.50607959273755,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20013.855599934646,430.1455482420395,0.07789601578567291,0.22002451018197586,352.5519519239,0.015892004537414336
0.25999999999999995,-0.599835062427608,4.588344914307551,4.8331954128669485,-2.473199051491325,18.918351061463696,18.639600537685634,41.83578947368418,48.0,4.627387076393059,26.673121838989392,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20013.478095081457,435.5686515392002,0.07838724830406517,0.22002474058372506,352.5519519239,0.015892004537414336
0.27999999999999997,-0.6492990434574345,4.966711935536825,5.205987423620662,-2.5018721335734484,19.137681338384464,18.689143044797557,41.82315789473681,48.0,5.008973617263191,26.866229339659952,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20013.096508540588,441.8825063044699,0.07895508665509747,0.22002500946048645,352.5519519239,0.015892004537414336
0.3,-0.6993364861289034,5.349465562304514,5.579770284516613,-2.5327646029539808,19.373988472880583,18.757707398088602,41.81052631578944,48.0,5.394984089236323,27.08538190082603,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20012.710498068616,449.10481769056526,0.07959947281176039,0.22002531792030255,352.5519519239,0.015892004537414336
0.32,-0.749991778187983,5.736945331762126,5.954924432478385,-2.5658776417485614,19.627281507361573,18.84530390573209,41.79789473684207,48.0,5.785760918580789,27.33055774661476,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,48.0,20012.31972123927,457.2557049832133,0.080320344112691,0.22002566724246947,352.5519519239,0.015892004537414336
