t,x,z,vx,vz,theta,q,mass,gamma,gamma_ref,alpha,alpha_air,alpha_cmd,gimbal_cmd,gimbal,speed,airspeed,thrust,altitude,wind_x
0.02,0.0,0.5,1.5654449419764637e-15,25.369456041666666,1.5707963267948966,0.0,29.986666666666668,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,25.0,25.0,850.0,0.0,0.0
0.04,3.061616997868383e-17,1.0073891208333334,1.6000949462121603e-15,25.73913355442906,1.5707963267948966,0.0,29.973333333333336,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,25.369456041666666,25.369456041666666,850.0,0.5,0.0
0.06,6.19250688182131e-17,1.5221717919219147,1.6347584957996044e-15,26.109032279572965,1.5707963267948966,0.0,29.960000000000004,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,25.73913355442906,25.73913355442906,850.0,1.0073891208333334,0.0
0.08,9.392696774245631e-17,2.044352437513374,1.6694355748385517e-15,26.479151957427685,1.5707963267948966,0.0,29.946666666666673,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,26.109032279572965,26.109032279572965,850.0,1.5221717919219147,0.0
0.1,1.266221376584484e-16,2.573935476661928,1.7041261673702989e-15,26.84949232736782,1.5707963267948966,0.0,29.93333333333334,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,26.479151957427685,26.479151957427685,850.0,2.044352437513374,0.0
0.12000000000000001,1.6001084915521941e-16,3.110925323209284,1.7388302573777929e-15,27.22005312781504,1.5707963267948966,0.0,29.92000000000001,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,26.84949232736782,26.84949232736782,850.0,2.573935476661928,0.0
0.14,1.9409337250262538e-16,3.655326385765585,1.7735478287857417e-15,27.590834096239902,1.5707963267948966,0.0,29.906666666666677,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,27.22005312781504,27.22005312781504,850.0,3.110925323209284,0.0
0.16,2.2886997765018123e-16,4.207143067690383,1.808278865460726e-15,27.961834969163675,1.5707963267948966,0.0,29.893333333333345,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,27.590834096239902,27.590834096239902,850.0,3.655326385765585,0.0
0.18,2.6434093422589607e-16,4.766379767073657,1.843023351211312e-15,28.33305548216018,1.5707963267948966,0.0,29.880000000000013,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,27.961834969163675,27.961834969163675,850.0,4.207143067690383,0.0
0.19999999999999998,3.0050651153511056e-16,5.3330408767168604,1.877781269788166e-15,28.704495369857657,1.5707963267948966,0.0,29.86666666666668,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,28.33305548216018,28.33305548216018,850.0,4.766379767073657,0.0
0.21999999999999997,3.373669785593368e-16,5.907130784114013,1.9125526048841694e-15,29.076154365940646,1.5707963267948966,0.0,29.85333333333335,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,28.704495369857657,28.704495369857657,850.0,5.3330408767168604,0.0
0.23999999999999996,3.7492260395510015e-16,6.488653871432827,1.9473373401345346e-15,29.448032203151893,1.5707963267948966,0.0,29.840000000000018,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,29.076154365940646,29.076154365940646,850.0,5.907130784114013,0.0
0.25999999999999995,4.1317365605278354e-16,7.077614515495864,1.9821354591169238e-15,29.820128613294262,1.5707963267948966,0.0,29.826666666666686,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,29.448032203151893,29.448032203151893,850.0,6.488653871432827,0.0
0.27999999999999997,4.521204028554742e-16,7.674017087761749,2.016946945351567e-15,30.192443327232688,1.5707963267948966,0.0,29.813333333333354,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,29.820128613294262,29.820128613294262,850.0,7.077614515495864,0.0
0.3,4.917631120378127e-16,8.277865954306403,2.051771782301382e-15,30.564976074896123,1.5707963267948966,0.0,29.800000000000022,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,30.192443327232688,30.192443327232688,850.0,7.674017087761749,0.0
0.32,5.32102050944844e-16,8.889165475804326,2.086609953372096e-15,30.937726585279524,1.5707963267948966,0.0,29.78666666666669,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,30.564976074896123,30.564976074896123,850.0,8.277865954306403,0.0
0.34,5.731374865908717e-16,9.507920007509917,2.1214614419123677e-15,31.310694586445848,1.5707963267948966,0.0,29.77333333333336,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,30.937726585279524,30.937726585279524,850.0,8.889165475804326,0.0
0.36000000000000004,6.148696856583136e-16,10.134133899238833,2.15632623121391e-15,31.683879805528065,1.5707963267948966,0.0,29.760000000000026,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,31.310694586445848,31.310694586445848,850.0,9.507920007509917,0.0
0.38000000000000006,6.57298914496561e-16,10.767811495349394,2.1912043045116164e-15,32.0572819687312,1.5707963267948966,0.0,29.746666666666695,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,31.683879805528065,31.683879805528065,850.0,10.134133899238833,0.0
0.4000000000000001,7.004254391208391e-16,11.408957134724018,2.226095644983685e-15,32.43090080133439,1.5707963267948966,0.0,29.733333333333363,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,32.0572819687312,32.0572819687312,850.0,10.767811495349394,0.0
0.4200000000000001,7.442495252110715e-16,12.057575150750706,2.2610002357517468e-15,32.80473602769294,1.5707963267948966,0.0,29.72000000000003,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,32.43090080133439,32.43090080133439,850.0,11.408957134724018,0.0
0.4400000000000001,7.887714381107452e-16,12.713669871304564,2.295918059880993e-15,33.17878737124044,1.5707963267948966,0.0,29.7066666666667,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,32.80473602769294,32.80473602769294,850.0,12.057575150750706,0.0
0.46000000000000013,8.339914428257801e-16,13.377245618729372,2.330849100380305e-15,33.55305455449086,1.5707963267948966,0.0,29.693333333333367,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,33.17878737124044,33.17878737124044,850.0,12.713669871304564,0.0
0.48000000000000015,8.799098040234e-16,14.048306709819188,2.3657933402023846e-15,33.92753729904071,1.5707963267948966,0.0,29.680000000000035,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,33.55305455449086,33.55305455449086,850.0,13.377245618729372,0.0
0.5000000000000001,9.265267860310062e-16,14.726857455800003,2.4007507622438865e-15,34.30223532557115,1.5707963267948966,0.0,29.666666666666703,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,33.92753729904071,33.92753729904071,850.0,14.048306709819188,0.0
0.5200000000000001,9.738426528350539e-16,15.412902162311426,2.43572134934555e-15,34.67714835385018,1.5707963267948966,0.0,29.65333333333337,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,34.30223532557115,34.30223532557115,850.0,14.726857455800003,0.0
0.5400000000000001,1.0218576680799315e-15,16.10644512938843,2.4707050842923338e-15,35.052276102734844,1.5707963267948966,0.0,29.64000000000004,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,34.67714835385018,34.67714835385018,850.0,15.412902162311426,0.0
0.5600000000000002,1.0705720950668425e-15,16.807490651443125,2.5057019498135505e-15,35.42761829017343,1.5707963267948966,0.0,29.626666666666708,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,35.052276102734844,35.052276102734844,850.0,16.10644512938843,0.0
0.5800000000000002,1.1199861967526892e-15,17.516043017246595,2.5407119285830045e-15,35.80317463320767,1.5707963267948966,0.0,29.613333333333376,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,35.42761829017343,35.42761829017343,850.0,16.807490651443125,0.0
0.6000000000000002,1.1701002357489601e-15,18.23210650991075,2.5757350032191284e-15,36.17894484797503,1.5707963267948966,0.0,29.600000000000044,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,35.80317463320767,35.80317463320767,850.0,17.516043017246595,0.0
0.6200000000000002,1.2209144743206201e-15,18.955685406870252,2.610771156285122e-15,36.554928649710966,1.5707963267948966,0.0,29.586666666666712,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,36.17894484797503,36.17894484797503,850.0,18.23210650991075,0.0
0.6400000000000002,1.2724291743850027e-15,19.686783979864472,2.6458203702890927e-15,36.93112575275118,1.5707963267948966,0.0,29.57333333333338,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,36.554928649710966,36.554928649710966,850.0,18.955685406870252,0.0
0.6600000000000003,1.3246445975107052e-15,20.425406494919496,2.6808826276841957e-15,37.307535870533954,1.5707963267948966,0.0,29.56000000000005,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,36.93112575275118,36.93112575275118,850.0,19.686783979864472,0.0
0.6800000000000003,1.3775610049164871e-15,21.171557212330175,2.7159579108687777e-15,37.68415871560247,1.5707963267948966,0.0,29.546666666666717,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,37.307535870533954,37.307535870533954,850.0,20.425406494919496,0.0
0.7000000000000003,1.431178657470171e-15,21.925240386642223,2.751046202186519e-15,38.060993999607156,1.5707963267948966,0.0,29.533333333333385,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,37.68415871560247,37.68415871560247,850.0,21.171557212330175,0.0
0.7200000000000003,1.4854978156875465e-15,22.686460266634366,2.78614748392658e-15,38.43804143330804,1.5707963267948966,0.0,29.520000000000053,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,38.060993999607156,38.060993999607156,850.0,21.925240386642223,0.0
0.7400000000000003,1.540518739731277e-15,23.455221095300526,2.821261738323745e-15,38.81530072657712,1.5707963267948966,0.0,29.50666666666672,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,38.43804143330804,38.43804143330804,850.0,22.686460266634366,0.0
0.7600000000000003,1.5962416894098086e-15,24.23152710983207,2.8563889475585694e-15,39.19277158840082,1.5707963267948966,0.0,29.49333333333339,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,38.81530072657712,38.81530072657712,850.0,23.455221095300526,0.0
0.7800000000000004,1.6526669241762835e-15,25.015382541600086,2.89152909375753e-15,39.57045372688232,1.5707963267948966,0.0,29.480000000000057,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,39.19277158840082,39.19277158840082,850.0,24.23152710983207,0.0
0.8000000000000004,1.7097947031274549e-15,25.806791616137733,2.9266821589931726e-15,39.948346849244096,1.5707963267948966,0.0,29.466666666666725,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,39.57045372688232,39.57045372688232,850.0,25.015382541600086,0.0
0.8200000000000004,1.7676252850026056e-15,26.605758553122616,2.9618481252842634e-15,40.3264506618303,1.5707963267948966,0.0,29.453333333333394,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,39.948346849244096,39.948346849244096,850.0,25.806791616137733,0.0
0.8400000000000004,1.826158928182469e-15,27.412287566359222,2.9970269745959398e-15,40.70476487010928,1.5707963267948966,0.0,29.44000000000006,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,40.3264506618303,40.3264506618303,850.0,26.605758553122616,0.0
0.8600000000000004,1.8853958906881543e-15,28.22638286376141,3.0322186888398645e-15,41.08328917867607,1.5707963267948966,0.0,29.42666666666673,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,40.70476487010928,40.70476487010928,850.0,27.412287566359222,0.0
0.8800000000000004,1.9453364301800733e-15,29.04804864733493,3.067423249874379e-15,41.462023291254894,1.5707963267948966,0.0,29.413333333333398,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,41.08328917867607,41.08328917867607,850.0,28.22638286376141,0.0
0.9000000000000005,2.0059808039568705e-15,29.877289113160028,3.1026406395046582e-15,41.84096691070173,1.5707963267948966,0.0,29.400000000000066,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,41.462023291254894,41.462023291254894,850.0,29.04804864733493,0.0
0.9200000000000005,2.067329268954358e-15,30.714108451374063,3.137870839482869e-15,42.220119739006826,1.5707963267948966,0.0,29.386666666666734,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,41.84096691070173,41.84096691070173,850.0,29.877289113160028,0.0
0.9400000000000005,2.129382081744451e-15,31.5585108461542,3.1731138315083254e-15,42.59948147729731,1.5707963267948966,0.0,29.373333333333402,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,42.220119739006826,42.220119739006826,850.0,30.714108451374063,0.0
0.9600000000000005,2.1921394985341085e-15,32.41050047570015,3.208369597227649e-15,42.97905182583976,1.5707963267948966,0.0,29.36000000000007,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,42.59948147729731,42.59948147729731,850.0,31.5585108461542,0.0
0.9800000000000005,2.255601775164275e-15,33.27008151221694,3.2436381182349284e-15,43.35883048404284,1.5707963267948966,0.0,29.34666666666674,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,42.97905182583976,42.97905182583976,850.0,32.41050047570015,0.0
1.0000000000000004,2.319769167108828e-15,34.137258121897794,3.2789193760718807e-15,43.73881715045991,1.5707963267948966,0.0,29.333333333333407,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,43.35883048404284,43.35883048404284,850.0,33.27008151221694,0.0
1.0200000000000005,2.3846419294735265e-15,35.01203446490699,3.3142133522280134e-15,44.11901152279168,1.5707963267948966,0.0,29.320000000000075,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,43.73881715045991,43.73881715045991,850.0,34.137258121897794,0.0
1.0400000000000005,2.4502203169949643e-15,35.894414695362826,3.3495200281407886e-15,44.49941329788891,1.5707963267948966,0.0,29.306666666666743,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,44.11901152279168,44.11901152279168,850.0,35.01203446490699,0.0
1.0600000000000005,2.5165045840395245e-15,36.7844029613206,3.3848393851957867e-15,44.88002217175505,1.5707963267948966,0.0,29.29333333333341,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,44.49941329788891,44.49941329788891,850.0,35.894414695362826,0.0
