rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
919,5195.4557,3.6,0.7,1.9,0.66,8e-05,76.0,3418.679590,936.556825,136.556825,214.396906,59.180000,1.000000,9.969417,117.502356,0.310546,4.939836,0.000000,0.824833
920,5195.9509,3.6,0.8,1.9,0.66,8e-05,76.0,3418.672580,936.658996,136.658996,214.397111,59.180000,1.000000,9.969060,117.501998,0.310564,4.940008,0.000000,0.824748
921,5196.4217,3.6,0.7,1.5,0.5,4e-05,80.0,3564.182617,753.313083,46.686917,217.345839,60.640000,1.000000,10.167947,135.547315,0.274901,4.727905,0.000000,0.717327
922,5196.4314,3.6,1.1,1.9,0.58,4e-05,76.0,3419.647231,936.760469,136.760469,214.442940,59.200000,1.000000,9.955273,117.591214,0.312980,4.921497,0.000000,1.023084
923,5196.4460,3.6,0.9,1.9,0.66,8e-05,76.0,3418.665569,936.761161,136.761161,214.397315,59.180000,1.000000,9.968704,117.501640,0.310582,4.940180,0.000000,0.824664
924,5196.5414,4.4,0.45,1.7,0.5,6e-05,76.0,3420.313092,951.455579,151.455579,214.477425,59.220000,1.000000,9.863285,117.368545,0.327998,4.878776,0.000000,0.956174
925,5196.9344,4.4,0.25,1.7,0.5,8e-05,76.0,3420.218354,952.635426,152.635426,214.479694,59.220000,1.000000,9.859372,117.369221,0.328228,4.880827,0.000000,0.886645
926,5197.3123,3.6,0.8,1.5,0.5,8e-05,76.0,3443.532923,686.068426,113.931574,214.777913,59.480000,1.000000,11.031760,118.890090,0.308309,4.732596,0.000000,1.072966
927,5198.7125,3.6,0.25,1.9,0.66,6e-05,76.0,3418.711134,936.096982,136.096982,214.395986,59.180000,1.000000,9.971023,117.503963,0.310465,4.939061,0.000000,0.893779
928,5199.2078,3.6,0.35,1.9,0.66,6e-05,76.0,3418.704125,936.199180,136.199180,214.396191,59.180000,1.000000,9.970666,117.503606,0.310483,4.939233,0.000000,0.893695
929,5199.4816,4.4,0.35,1.7,0.5,6e-05,76.0,3420.265723,952.045668,152.045668,214.478560,59.220000,1.000000,9.861327,117.368888,0.328113,4.879802,0.000000,0.955696
930,5199.6063,4.0,0.7,1.7,0.58,0.00015,78.0,3486.754470,708.122571,91.877429,215.758952,59.900000,1.000000,10.780161,125.549310,0.266114,4.790621,0.000000,0.653523
931,5199.7030,3.6,0.45,1.9,0.66,6e-05,76.0,3418.697115,936.301371,136.301371,214.396395,59.180000,1.000000,9.970309,117.503249,0.310501,4.939405,0.000000,0.893610
932,5200.4459,3.6,0.6,1.9,0.66,6e-05,76.0,3418.686601,936.454648,136.454648,214.396702,59.180000,1.000000,9.969774,117.502713,0.310528,4.939664,0.000000,0.893484
933,5200.4576,3.6,1.0,1.9,0.58,4e-05,76.0,3419.582477,937.581174,137.581174,214.444502,59.200000,1.000000,9.952336,117.589858,0.313135,4.922923,0.000000,1.022418
934,5200.9411,3.6,0.7,1.9,0.66,6e-05,76.0,3418.679590,936.556825,136.556825,214.396906,59.180000,1.000000,9.969417,117.502356,0.310546,4.939836,0.000000,0.893400
935,5201.4362,3.6,0.8,1.9,0.66,6e-05,76.0,3418.672580,936.658996,136.658996,214.397111,59.180000,1.000000,9.969060,117.501998,0.310564,4.940008,0.000000,0.893315
